,_updated_by,232_type_of_store,184_store_devices,103_number_own_fridges,310_burnout,24_burnout,272_card_days_receive_money,193_sales_planning_tools,62_frequency_only_services,77_delivery_timeslots,44_willingness_inventory_management_suppliers,45_willingness_reorder_suppliers,46_willingness_reorder_suppliers_variety,279_changes_procurement_pandemic,157_frequency_organize_shelves,161_actions_stockouts,162_inventory_extra_space,250_technology_investment_operations,251_technology_investment_customers,254_technology_roadmap
109,Ramón Alberto Gastélum,Grocery store (aka. nanostore),Smartphone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
110,Jesús Herrera,Grocery store (aka. nanostore),"Analog cash register,Dataphone (i.e. card payments),Smartphone",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
111,Jesús Herrera,Dairy products,Smartphone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
112,Pedro Contreras,Bread ,Smartphone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
113,Eduardo Zárate,Cafeteria,Analog cash register,0.0,yes,2.0,--,Ninguna,--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,--,Diariamente,Ofrecer un producto sustituto,0,De acuerdo,De acuerdo,De acuerdo
114,Pedro Contreras,Estética ,"POS system (i.e. computer + bar code scanner + printer),Smartphone",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
115,Pedro Contreras,Butcher shop,Smartphone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
116,Pedro Contreras,Produce (fruits & vegetables),Smartphone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
117,Eduardo Zárate,limpieza,POS system (i.e. computer + bar code scanner + printer),--,no,--,--,--,--,--,--,--,--,--,--,--,10%,--,--,--
118,Eduardo Zárate,Dairy products,"Analog cash register,POS system (i.e. computer + bar code scanner + printer),Security cameras",20.0,no,--,1.0,Ninguna,--,--,Totalmente en desacuerdo,--,--,--,Diariamente,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",0,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo
119,Eduardo Zárate,Dairy products,Analog cash register,7.0,yes,7.0,5.0,Ninguna,7.0,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,--,Diariamente,Solicitar tiempo al cliente para conseguir el producto,40%,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo
120,Eduardo Zárate,Micro-restaurant (aka. fondita),Smartphone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
121,Eduardo Zárate,Micro-restaurant (aka. fondita),Smartphone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
122,Eduardo Zárate,Papelería,Analog cash register,--,yes,4.0,1.0,Ninguna,--,--,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Disminuir la cantidad del pedido,Semanalmente,Solicitar tiempo al cliente para conseguir el producto,30%,De acuerdo,De acuerdo,De acuerdo
123,Jesús Antonio Zapatero García,Micro-restaurant (aka. fondita),Smartphone,--,yes,2.0,--,Cuaderno,--,--,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,--,Diariamente,Ofrecer un producto sustituto,20%,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo
124,Pedro Contreras,Produce (fruits & vegetables),"Analog cash register,Smartphone",0.0,yes,3.0,--,Ninguna,0.0,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"Aumentar la cantidad del pedido,Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",0,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
125,Alejandro Matias,Peluqueria,Smartphone,--,no,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
126,Alejandro Matias,Micro-restaurant (aka. fondita),Smartphone,--,yes,7.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
127,Alejandro Matias,Cafeteria,Analog cash register,--,no,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
128,Alejandro Matias,Micro-restaurant (aka. fondita),Analog cash register,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
129,Eduardo Zárate,Dairy products,Analog cash register,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
130,Pedro Contreras,Grocery store (aka. nanostore),"POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
131,Pedro Contreras,Toolshop,"POS system (i.e. computer + bar code scanner + printer),Security cameras",--,yes,2.0,--,--,--,--,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,--,Diariamente,--,50% +,--,--,--
132,Sebastian Salem Barranco Olvera,Micro-restaurant (aka. fondita),Security cameras,1.0,yes,7.0,--,Cuaderno,--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,--,Semanalmente,Ofrecer un producto sustituto,10%,--,Totalmente de acuerdo,Totalmente de acuerdo
133,Sebastian Salem Barranco Olvera,Floreria,"Security cameras,Smartphone",--,no,--,0.0,Aplicación móvil,3.0,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,--,Diariamente,Solicitar tiempo al cliente para conseguir el producto,20%,En desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo
134,Pedro Contreras,Grocery store (aka. nanostore),Smartphone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
135,Pedro Contreras,Micro-restaurant (aka. fondita),Smartphone,--,--,--,--,--,--,--,--,--,--,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",--,--,--,--,--,--
136,Pedro Contreras,Grocery store (aka. nanostore),Smartphone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
137,Pedro Contreras,Grocery store (aka. nanostore),Smartphone,0.0,yes,3.0,--,--,--,--,Totalmente en desacuerdo,--,--,--,--,--,--,--,--,--
138,Pedro Contreras,Grocery store (aka. nanostore),Smartphone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
139,Ismael López,Micro-restaurant (aka. fondita),None,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
140,Ismael López,Grocery store (aka. nanostore),"Analog cash register,Security cameras,Smartphone",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
141,Jesús Herrera,Produce (fruits & vegetables),Smartphone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
142,Salomon Abdala Perez,Grocery store (aka. nanostore),"Analog cash register,Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer)",--,no,--,1.0,--,--,--,--,--,--,--,Mensualmente,Solicitar tiempo al cliente para conseguir el producto,20%,--,--,--
143,Salomon Abdala Perez,Technology store,"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer),Security cameras",--,no,--,1.0,Software especializado,--,--,--,--,--,--,Mensualmente,Solicitar tiempo al cliente para conseguir el producto,30%,--,--,--
144,Salomon Abdala Perez,Bakery store,"Dataphone (i.e. card payments),Security cameras",--,no,--,1.0,--,--,--,--,--,--,--,Diariamente,--,--,--,--,--
145,Salomon Abdala Perez,Micro-restaurant (aka. fondita),Dataphone (i.e. card payments),2.0,no,--,1.0,Ninguna,--,--,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,--,Nunca,Ofrecer un producto sustituto,20%,--,--,--
146,Salomon Abdala Perez,Grocery store (aka. nanostore),"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer)",--,no,--,1.0,--,--,--,--,--,--,--,Semanalmente,Solicitar tiempo al cliente para conseguir el producto,20%,--,--,--
147,Salomon Abdala Perez,Grocery store (aka. nanostore),"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer),Smartphone",--,no,--,--,--,--,--,--,--,--,--,Semanalmente,Solicitar tiempo al cliente para conseguir el producto,--,De acuerdo,De acuerdo,--
148,Salomon Abdala Perez,Grocery store (aka. nanostore),Dataphone (i.e. card payments),--,no,--,--,Ninguna,--,--,--,--,--,--,Anualmente,--,0,--,--,--
149,Salomon Abdala Perez,Laundry Store,"Dataphone (i.e. card payments),Security cameras",--,no,--,--,--,--,--,Ni de acuerdo ni en desacuerdo,--,--,--,Anualmente,Solicitar tiempo al cliente para conseguir el producto,--,--,--,--
150,Salomon Abdala Perez,Grocery store (aka. nanostore),None,--,no,--,--,--,--,--,--,--,--,--,Nunca,--,--,--,--,--
151,Irvin Vásquez Figueroa,barber shop,"Analog cash register,POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",--,yes,3.0,0.0,Excel,--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Aumentar la cantidad del pedido,Semanalmente,"Informar al proveedor,Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto,pedir en otra sucursal",0,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo
152,Irvin Vásquez Figueroa,Dairy products,"Analog cash register,POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",--,yes,2.0,0.0,Excel,0.0,--,Algo de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Disminuir la frecuencia de pedidos,Diariamente,Solicitar tiempo al cliente para conseguir el producto,50% +,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo
153,Ángel Francisco Altamirano Campos,Micro-restaurant (aka. fondita),"Dataphone (i.e. card payments),Smartphone",1.0,no,--,1.0,Ninguna,--,--,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,--,Diariamente,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",20%,De acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo
154,Ángel Francisco Altamirano Campos,ferretería ,"Dataphone (i.e. card payments),Security cameras",--,no,--,1.0,"Cuaderno,Excel",--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente,"Informar al proveedor,Perder la venta",0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo
155,Ángel Francisco Altamirano Campos,Micro-restaurant (aka. fondita),Smartphone,--,yes,1.0,--,Ninguna,--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,--,Diariamente,Ofrecer un producto sustituto,0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo
156,Ángel Francisco Altamirano Campos,lavandería ,Smartphone,--,no,--,--,Cuaderno,--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,--,Semanalmente,Solicitar tiempo al cliente para conseguir el producto,0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo
157,Ángel Francisco Altamirano Campos,tecnología ,"Dataphone (i.e. card payments),Security cameras,Smartphone",--,no,--,1.0,Ninguna,--,--,Totalmente en desacuerdo,Algo de acuerdo,Algo de acuerdo,Ninguna de las anteriores,Nunca,Solicitar tiempo al cliente para conseguir el producto,10%,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo
158,Ángel Francisco Altamirano Campos,Micro-restaurant (aka. fondita),"Analog cash register,Dataphone (i.e. card payments),Security cameras,Smartphone",--,yes,3.0,1.0,Ninguna,--,--,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,--,Semanalmente,Ofrecer un producto sustituto,20%,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo
159,Salomon Abdala Perez,Grocery store (aka. nanostore),"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer),Security cameras",--,no,--,--,--,--,--,--,--,--,--,Semanalmente,Ofrecer un producto sustituto,30%,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo
160,Sandra Carreón,Tailor (sastrería),"Analog cash register,Dataphone (i.e. card payments),Security cameras,Smartphone",--,no,--,1.0,En físico ,35.0,--,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,--,Mensualmente,"Informar al proveedor,Solicitar tiempo al cliente para conseguir el producto",20%,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo
161,José Zapata,Grocery store (aka. nanostore),"POS system (i.e. computer + bar code scanner + printer),Smartphone",2.0,yes,7.0,--,"Aplicación móvil,Excel",--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,--,Semanalmente,Perder la venta,10%,De acuerdo,De acuerdo,Totalmente en desacuerdo
162,Daniel Serrano,Grocery store (aka. nanostore),Security cameras,--,no,--,--,Excel,1.0,--,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo de acuerdo,--,Diariamente,Solicitar tiempo al cliente para conseguir el producto,50% +,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo
163,Emilio Garza,Micro-restaurant (aka. fondita),"POS system (i.e. computer + bar code scanner + printer),Smartphone",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
164,Francisco Adán,Productos tradicionales ,Smartphone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
165,Francisco Adán,productos tradicionales ,Analog cash register,--,no,--,1.0,Cuaderno,1.0,Tarde (12:00 - 7:00 pm),Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Disminuir la frecuencia de pedidos,Mensualmente,"Informar al proveedor,Ofrecer un producto sustituto",20%,En desacuerdo,En desacuerdo,Totalmente en desacuerdo
166,Emilio Garza,Grocery store (aka. nanostore),"Analog cash register,Smartphone",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
167,Emilio Garza,Grocery store (aka. nanostore),"Analog cash register,Smartphone",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
168,Emilio Garza,Micro-restaurant (aka. fondita),Smartphone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
169,Francisco Adán,Micro-restaurant (aka. fondita),Analog cash register,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
170,Emilio Garza,Micro-restaurant (aka. fondita),Smartphone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
